raw,rawFiltered,average,std,stdstd
242070,242070,242070.0,0.0,0.0,2
196190,196190,219130.0,22940.0,11470.0,1
177977,177977,205412.33333333334,26966.234891475346,11877.298568761593,1
223467,223467,209926.0,24627.2801685448,10852.570385877023,1
247903,247903,217521.4,26757.480214698844,10236.346569099676,1
257617,257617,224204.0,28634.268572231187,9852.0675146468,2
260605,260605,229404.14285714287,29411.53908844317,9516.594216920805,1
267596,267596,234178.125,30272.84494574923,9241.989019469274,2
268036,268036,237940.11111111112,30460.436950409567,8968.622683890691,1
271647,271647,241310.80000000002,30615.49100635167,8706.968042556597,2
271795,271795,244082.0909090909,30477.84405240378,2570.0355620197884,1
274957,274957,246655.0,30402.45389767082,1972.6580381404283,1
275250,275250,248854.61538461538,30187.21897028216,1898.2839515676203,2
280217,280217,251094.7857142857,30189.672482439066,1148.0788767712643,1
280811,280811,253075.86666666667,30093.201568608296,573.698810448603,1
287035,287035,255198.3125,30274.94635156012,314.3314187887202,2
289218,289218,257199.4705882353,30442.248496838278,154.7001841789455,1
296417,296417,259378.22222222222,30918.340248603174,229.24022278159512,2
298772,298772,261451.57894736843,31352.981995868286,365.96826232962644,3
305112,305112,263634.6,32006.328178033793,584.3163515964861,1
307208,307208,265709.5238095238,32584.199041894743,821.4175916834378,2
313169,313169,267866.7727272727,33334.63292396693,1090.3665944606525,1
318833,318833,270082.6956521739,34218.58739675137,1372.8362701657952,2
326690,326690,272441.3333333333,35356.423522544756,1700.0977369460609,1
333947,333947,274901.56,36678.86016449257,2050.747668657182,2
343570,343570,277542.6538461539,38314.2193085848,2469.0453407716846,1
350532,350532,280245.962962963,40045.157990450105,2912.598385230796,1
359095,359095,283062.0,41957.770075568675,3403.7557657864804,1
363109,363109,285822.2413793103,43738.76144096918,3861.2265986748384,1
367682,367682,288550.89999999997,45444.8204106548,4267.94544858521,1
370775,370775,291203.2903225806,47007.09050098002,4564.222130617042,2
376166,376166,293858.37499999994,48571.06331368376,4754.345190225774,1
380653,380653,296488.5151515151,50090.15115987841,4829.700208598689,2
386266,386266,299129.02941176464,51626.68743374389,4815.398884242325,3
387911,387911,301665.6571428571,52989.954998467336,4702.774058067705,4
394319,394319,304239.36111111107,54422.196309733365,4558.144086378778,5
397919,397919,306771.2432432432,55789.8094881549,4396.69863647974,6
405725,405725,309375.28947368416,57284.32572422726,4287.591324241553,1
409689,409689,311947.4358974358,58726.13317014571,4212.333828181749,2
415357,415357,314532.67499999993,60192.97913103635,4172.324350370867,3
416703,416703,317024.6341463414,61507.87387658082,4124.226015641967,4
423014,423014,319548.1904761904,62882.7775726346,4086.302333096797,5
423092,423092,321956.1860465116,64076.66619824778,4028.6649183790037,6
424296,424296,324282.0909090909,65154.646165459955,3948.7352513833976,7
422034,422034,326454.35555555555,66018.30067157495,3797.3532858696353,1
424164,424164,328578.47826086957,66833.39903194043,3596.4822828915503,2
420032,420032,330524.2978723404,67422.79161741781,3319.9593798748283,1
421668,421668,332423.125,67974.91131679427,3010.9743891035923,2
420202,420202,334214.5306122449,68412.93209534086,2672.173590375163,1
421364,421364,335957.52,68815.58893600783,2336.629419580954,2
419945,419945,339515.02,68466.85389339578,1921.3165846589814,1
421934,421934,344029.9,66274.74993366632,1483.6487515719411,1
418258,418258,348835.52,62673.546252063985,1784.1938131653333,2
413708,413708,352640.34,60690.36333442405,2539.7553325584854,1
410238,410238,355887.04000000004,59327.31867966395,3306.7556785611764,1
412607,412607,358986.84,58149.162020569165,3966.717858125167,1
412933,412933,362033.4,56891.7177680548,4498.428592335204,1
414337,414337,364968.22000000003,55717.1361723806,4841.94792744031,2
411834,411834,367844.18000000005,54333.590333674816,4975.240495557861,1
